,main_speaker,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
59,Anna Deavere Smith,8.5,5.166666666666667,5.75,9.583333333333334,6.166666666666667,8.416666666666666,5.916666666666667,5.75,6.083333333333333,5.833333333333333,6.166666666666667,4.0
60,Saul Griffith,19.416666666666668,11.666666666666666,13.333333333333334,20.166666666666668,24.083333333333332,10.75,6.666666666666667,5.666666666666667,4.166666666666667,4.5,3.5833333333333335,3.25
61,Neil Gershenfeld,22.083333333333332,17.416666666666668,15.666666666666666,10.5,9.166666666666666,8.0,6.416666666666667,8.0,6.166666666666667,6.333333333333333,4.666666666666667,4.083333333333333
62,Carl Honoré,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,Bill Clinton,20.0,16.833333333333332,25.416666666666668,13.333333333333334,13.416666666666666,11.083333333333334,19.0,12.416666666666666,12.416666666666666,14.25,42.333333333333336,16.0
64,E.O. Wilson,16.333333333333332,15.916666666666666,12.5,9.916666666666666,10.916666666666666,7.25,9.916666666666666,6.166666666666667,5.916666666666667,5.75,3.3333333333333335,2.6666666666666665
65,James Nachtwey,64.41666666666667,61.083333333333336,48.5,41.75,41.333333333333336,37.333333333333336,29.0,22.75,21.25,15.416666666666666,13.416666666666666,10.083333333333334
66,Jane Goodall,75.16666666666667,64.33333333333333,53.75,50.916666666666664,49.583333333333336,42.75,48.083333333333336,45.166666666666664,59.166666666666664,45.666666666666664,43.5,49.083333333333336
67,Seth Godin,20.583333333333332,24.083333333333332,28.583333333333332,34.833333333333336,43.833333333333336,35.583333333333336,29.416666666666668,30.25,24.416666666666668,21.0,20.25,17.416666666666668
68,James Watson,18.916666666666668,24.666666666666668,16.083333333333332,15.083333333333334,15.333333333333334,13.5,11.5,13.833333333333334,13.666666666666666,12.583333333333334,10.833333333333334,10.5
69,Al Seckel,0.4166666666666667,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,Dean Kamen,24.666666666666668,19.5,37.0,19.583333333333332,23.166666666666668,15.416666666666666,12.416666666666666,10.5,10.166666666666666,15.25,10.833333333333334,7.333333333333333
71,Juan Enriquez,7.916666666666667,7.0,6.666666666666667,8.75,6.083333333333333,6.666666666666667,6.666666666666667,5.583333333333333,4.666666666666667,4.25,4.083333333333333,3.5
72,Stefan Sagmeister,39.083333333333336,40.166666666666664,66.0,54.583333333333336,54.416666666666664,47.833333333333336,45.666666666666664,47.416666666666664,40.333333333333336,34.166666666666664,34.416666666666664,32.833333333333336
73,Alex Steffen,8.083333333333334,7.583333333333333,5.083333333333333,5.833333333333333,4.916666666666667,5.416666666666667,4.083333333333333,3.5,3.3333333333333335,2.5,2.5833333333333335,2.8333333333333335
74,Thom Mayne,32.5,21.833333333333332,15.5,13.833333333333334,11.416666666666666,10.166666666666666,9.0,8.0,6.333333333333333,6.25,5.416666666666667,4.916666666666667
75,Chris Bangle,20.833333333333332,22.583333333333332,16.166666666666668,27.0,15.75,14.75,10.583333333333334,9.166666666666666,7.166666666666667,6.333333333333333,5.583333333333333,5.833333333333333
76,Nora York,18.166666666666668,17.166666666666668,14.25,14.083333333333334,13.666666666666666,12.666666666666666,14.083333333333334,10.833333333333334,8.666666666666666,8.5,8.416666666666666,7.333333333333333
77,Paul Bennett,60.25,55.416666666666664,50.25,45.916666666666664,43.25,43.916666666666664,49.666666666666664,42.166666666666664,39.833333333333336,41.666666666666664,36.666666666666664,36.083333333333336
78,Vik Muniz,24.583333333333332,30.083333333333332,30.833333333333332,48.833333333333336,38.083333333333336,71.33333333333333,57.25,44.666666666666664,43.416666666666664,34.916666666666664,30.916666666666668,26.833333333333332
79,Nick Bostrom,5.75,6.75,6.666666666666667,5.5,4.25,4.5,5.5,5.0,8.583333333333334,13.5,15.416666666666666,16.25
80,Janine Benyus,0.9166666666666666,1.0,1.0833333333333333,1.3333333333333333,0.9166666666666666,0.8333333333333334,1.0833333333333333,0.8333333333333334,0.5833333333333334,0.4166666666666667,0.6666666666666666,0.3333333333333333
81,Craig Venter,6.5,14.083333333333334,12.833333333333334,8.083333333333334,20.333333333333332,8.166666666666666,6.833333333333333,5.666666666666667,4.916666666666667,3.9166666666666665,3.5833333333333335,3.0833333333333335
82,Golan Levin,62.166666666666664,40.083333333333336,37.916666666666664,39.083333333333336,25.583333333333332,22.75,17.5,15.0,10.25,6.75,7.75,7.0
83,Susan Savage-Rumbaugh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84,Frans Lanting,48.583333333333336,40.416666666666664,31.166666666666668,25.0,20.333333333333332,24.083333333333332,20.25,16.0,21.583333333333332,11.583333333333334,13.166666666666666,12.916666666666666
85,Sheila Patek,2.0,2.8333333333333335,2.75,2.4166666666666665,1.5833333333333333,1.0833333333333333,1.0833333333333333,1.0,0.75,1.0,1.0,1.0
86,Jill Sobule,39.666666666666664,32.833333333333336,48.583333333333336,42.5,21.25,15.416666666666666,11.0,9.583333333333334,7.666666666666667,6.666666666666667,5.5,4.416666666666667
87,Caroline Lavelle,9.416666666666666,9.166666666666666,6.666666666666667,4.916666666666667,3.9166666666666665,3.1666666666666665,3.5833333333333335,2.25,1.9166666666666667,1.5,1.6666666666666667,1.3333333333333333
88,Evelyn Glennie,38.166666666666664,29.916666666666668,29.083333333333332,27.083333333333332,24.166666666666668,19.916666666666668,28.583333333333332,19.25,16.916666666666668,20.916666666666668,12.666666666666666,12.5
89,William McDonough,33.666666666666664,31.166666666666668,24.333333333333332,17.666666666666668,14.083333333333334,10.166666666666666,8.583333333333334,7.333333333333333,6.5,5.25,4.833333333333333,4.583333333333333
90,Jeff Bezos,2.0,2.4166666666666665,2.0,2.4166666666666665,2.3333333333333335,3.4166666666666665,4.25,8.333333333333334,6.75,7.5,10.333333333333334,37.25
91,Eddi Reader,1.25,1.25,1.0,1.1666666666666667,1.0,1.0,1.0,1.0833333333333333,1.0,0.5,0.16666666666666666,0.3333333333333333
92,Tom Honey,22.333333333333332,23.333333333333332,30.083333333333332,26.833333333333332,27.916666666666668,29.916666666666668,44.0,47.75,47.583333333333336,40.333333333333336,43.166666666666664,39.583333333333336
93,Tom Rielly,4.75,4.333333333333333,3.5,3.4166666666666665,2.5833333333333335,1.8333333333333333,1.8333333333333333,1.75,1.25,1.1666666666666667,1.0,1.25
94,Rachelle Garniez,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95,Chris Anderson,7.0,6.0,7.0,11.083333333333334,8.0,7.0,8.666666666666666,26.833333333333332,8.333333333333334,6.5,5.333333333333333,5.75
96,Natalie MacMaster,5.0,3.75,3.0833333333333335,2.25,2.5,2.0,2.0833333333333335,2.25,1.4166666666666667,1.5,1.4166666666666667,1.25
97,Sergey Brin + Larry Page,41.75,41.333333333333336,33.833333333333336,28.5,31.416666666666668,47.0,37.416666666666664,53.666666666666664,52.0,51.333333333333336,34.416666666666664,32.833333333333336
98,Stew,46.75,43.75,47.0,52.0,53.75,57.75,60.583333333333336,64.91666666666667,64.91666666666667,66.16666666666667,68.66666666666667,71.58333333333333
99,James Howard Kunstler,0.6666666666666666,0.3333333333333333,0.8333333333333334,0.4166666666666667,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333
100,David Kelley,53.416666666666664,49.0,41.416666666666664,39.0,43.166666666666664,42.333333333333336,41.666666666666664,47.75,38.75,32.416666666666664,26.083333333333332,40.75
101,Stewart Brand,16.75,14.916666666666666,14.916666666666666,19.416666666666668,23.333333333333332,19.75,19.166666666666668,16.25,13.0,10.333333333333334,8.75,8.25
102,Jeff Hawkins,41.416666666666664,55.583333333333336,35.25,30.25,27.25,22.666666666666668,19.0,17.75,14.666666666666666,14.166666666666666,13.833333333333334,13.416666666666666
103,Tierney Thys,1.6666666666666667,3.9166666666666665,2.4166666666666665,1.8333333333333333,1.25,1.0833333333333333,1.3333333333333333,1.1666666666666667,1.25,0.8333333333333334,1.0,0.75
104,Blaise Agüera y Arcas,0.0,0.5833333333333334,0.75,0.0,1.0833333333333333,0.5,0.25,2.0833333333333335,0.9166666666666666,0.6666666666666666,1.0833333333333333,1.0
105,John Doerr,33.5,35.166666666666664,27.166666666666668,18.916666666666668,24.75,27.333333333333332,12.916666666666666,13.083333333333334,12.5,16.916666666666668,11.166666666666666,11.083333333333334
106,Ngozi Okonjo-Iweala,11.0,8.333333333333334,6.333333333333333,6.0,5.833333333333333,12.583333333333334,24.166666666666668,9.333333333333334,11.666666666666666,9.583333333333334,6.166666666666667,5.25
107,Anand Agarawala,2.5,3.5833333333333335,2.6666666666666665,2.0833333333333335,4.083333333333333,2.1666666666666665,1.0,0.8333333333333334,1.1666666666666667,0.5833333333333334,0.3333333333333333,0.3333333333333333
108,Robert Thurman,55.25,38.5,41.083333333333336,34.083333333333336,42.833333333333336,26.916666666666668,30.583333333333332,24.666666666666668,21.333333333333332,30.083333333333332,14.75,14.166666666666666
109,David Rockwell,29.666666666666668,29.666666666666668,29.333333333333332,28.0,27.333333333333332,20.583333333333332,15.833333333333334,15.916666666666666,15.666666666666666,13.916666666666666,13.833333333333334,12.75
110,Thomas Barnett,3.25,2.6666666666666665,2.3333333333333335,1.4166666666666667,1.25,1.0833333333333333,1.0,1.0,0.9166666666666666,1.1666666666666667,1.0,1.0
111,Ethel,76.66666666666667,74.08333333333333,70.66666666666667,65.33333333333333,58.083333333333336,60.166666666666664,61.416666666666664,56.0,50.833333333333336,50.25,53.0,55.083333333333336
112,Stephen Lawler,1.3333333333333333,0.9166666666666666,1.75,1.0833333333333333,1.0,0.8333333333333334,0.8333333333333334,0.5833333333333334,0.8333333333333334,0.8333333333333334,2.3333333333333335,1.1666666666666667
113,Bill Stone,44.666666666666664,41.916666666666664,39.583333333333336,43.416666666666664,42.333333333333336,41.416666666666664,40.583333333333336,36.916666666666664,36.5,38.833333333333336,67.66666666666667,54.416666666666664
114,Alan Russell,47.25,45.166666666666664,42.0,37.833333333333336,39.333333333333336,34.0,32.75,32.666666666666664,32.833333333333336,26.416666666666668,34.833333333333336,21.5
115,Jonathan Harris,64.16666666666667,68.75,70.66666666666667,69.91666666666667,65.33333333333333,57.166666666666664,58.833333333333336,56.833333333333336,53.416666666666664,52.75,49.916666666666664,43.166666666666664
116,Emily Oster,2.25,2.9166666666666665,2.0,1.5,0.9166666666666666,0.8333333333333334,0.6666666666666666,2.0833333333333335,1.5,1.0,1.0,0.9166666666666666
117,Will Wright,33.833333333333336,21.5,24.916666666666668,15.5,13.5,13.25,13.333333333333334,12.833333333333334,11.583333333333334,10.666666666666666,11.166666666666666,10.166666666666666
118,David Bolinsky,2.0,17.25,17.166666666666668,11.833333333333334,12.75,9.666666666666666,7.25,4.916666666666667,4.0,4.25,3.0,2.0833333333333335
119,Allison Hunt,50.166666666666664,34.416666666666664,30.666666666666668,28.0,25.916666666666668,24.083333333333332,17.916666666666668,24.333333333333332,20.75,23.0,21.25,20.833333333333332
120,George Ayittey,2.9166666666666665,2.8333333333333335,2.5833333333333335,2.4166666666666665,1.5833333333333333,1.6666666666666667,1.4166666666666667,1.0833333333333333,1.0,0.5833333333333334,0.75,0.4166666666666667
121,William Kamkwamba,0.0,1.6666666666666667,1.25,12.166666666666666,7.333333333333333,6.666666666666667,5.916666666666667,6.833333333333333,5.166666666666667,6.416666666666667,11.833333333333334,8.0
122,Euvin Naidoo,10.5,16.25,15.916666666666666,12.0,6.25,6.5,6.75,7.583333333333333,5.5,5.333333333333333,4.333333333333333,4.333333333333333
123,Patrick Awuah,28.0,22.833333333333332,24.916666666666668,19.0,15.416666666666666,15.75,15.75,18.916666666666668,11.583333333333334,16.416666666666668,12.583333333333334,13.583333333333334
124,Chris Abani,11.833333333333334,8.5,12.0,10.166666666666666,7.25,7.583333333333333,6.166666666666667,5.416666666666667,6.416666666666667,4.0,3.25,2.6666666666666665
125,Vusi Mahlasela,13.833333333333334,14.833333333333334,9.166666666666666,7.75,18.416666666666668,10.666666666666666,6.166666666666667,8.416666666666666,6.833333333333333,6.666666666666667,6.25,5.166666666666667
126,Jeff Skoll,33.416666666666664,12.583333333333334,8.75,9.0,8.75,5.166666666666667,5.0,5.416666666666667,7.916666666666667,5.083333333333333,4.0,3.3333333333333335
127,Erin McKean,5.666666666666667,4.5,3.5833333333333335,3.75,3.1666666666666665,2.8333333333333335,1.5833333333333333,1.5,1.3333333333333333,1.9166666666666667,1.4166666666666667,1.0
128,Andrew Mwenda,3.3333333333333335,3.25,2.8333333333333335,2.6666666666666665,2.1666666666666665,2.25,2.3333333333333335,1.5,1.9166666666666667,1.8333333333333333,1.75,1.1666666666666667
129,Theo Jansen,25.5,55.833333333333336,53.0,47.75,45.416666666666664,55.5,29.833333333333332,27.25,25.916666666666668,25.083333333333332,21.333333333333332,15.666666666666666
130,Steven Pinker,42.833333333333336,48.916666666666664,46.833333333333336,48.0,39.416666666666664,49.5,47.333333333333336,45.083333333333336,43.666666666666664,43.0,36.166666666666664,41.166666666666664
131,Deborah Scranton,2.8333333333333335,2.4166666666666665,0.9166666666666666,0.9166666666666666,0.75,0.6666666666666666,0.5,0.16666666666666666,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.25
132,Zeresenay Alemseged,3.8333333333333335,3.4166666666666665,1.3333333333333333,1.4166666666666667,2.0833333333333335,1.8333333333333333,2.0,1.0,0.8333333333333334,1.25,1.1666666666666667,1.1666666666666667
133,John Maeda,62.5,70.58333333333333,61.0,42.75,32.083333333333336,29.5,24.0,22.5,20.333333333333332,17.75,17.666666666666668,18.166666666666668
134,Stephen Petranek,3.4166666666666665,9.333333333333334,5.833333333333333,2.5833333333333335,2.9166666666666665,3.0833333333333335,2.0,0.9166666666666666,2.75,3.9166666666666665,6.916666666666667,5.166666666666667
135,Paul MacCready,20.0,29.666666666666668,15.583333333333334,12.833333333333334,9.833333333333334,10.833333333333334,5.583333333333333,5.916666666666667,4.916666666666667,5.666666666666667,4.75,3.9166666666666665
136,Carolyn Porco,1.25,0.9166666666666666,0.6666666666666666,0.5,0.5833333333333334,0.5833333333333334,0.3333333333333333,0.5,0.5833333333333334,0.25,0.0,0.3333333333333333
137,Kenichi Ebina,0.16666666666666666,0.3333333333333333,0.4166666666666667,0.08333333333333333,0.0,0.0,0.0,18.333333333333332,8.833333333333334,3.9166666666666665,1.6666666666666667,1.6666666666666667
138,Richard Branson,34.166666666666664,41.5,31.75,34.166666666666664,33.083333333333336,40.583333333333336,43.583333333333336,39.666666666666664,38.416666666666664,36.416666666666664,34.5,44.166666666666664
139,Hod Lipson,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
